"Id","Version"
"Microsoft.EntityFrameworkCore","7.0.5"
"Microsoft.EntityFrameworkCore.SqlServer","3.1.1"
"Microsoft.Extensions.Hosting","7.0.1"
"System.Data.SQLite","1.0.117"
"Newtonsoft.Json","13.0.3"
"MySqlConnector","2.2.5"
"Microsoft.AspNetCore.Cors","2.2.0"
"Microsoft.AspNet.WebApi.SelfHost","5.2.9"
"System.Data.SQLite.EF6","1.0.117"
"System.DirectoryServices.Protocols","7.0.0"
"System.Configuration.ConfigurationManager","7.0.0"
"System.Management","7.0.1"
"System.Data.SqlClient","4.8.5"
"Microsoft.AspNet.WebApi.Cors","5.2.9"
"System.Data.Common","4.3.0"
"CliWrap","3.6.1"
"System.DirectoryServices","7.0.1"
"EntityFramework","6.4.4"
"MySql.Data","8.0.26"
"NLog","5.1.3"
"Microsoft.Extensions.Primitives","7.0.0"
"Microsoft.AspNet.Cors","5.2.9"
"MySql.Data.EntityFramework","8.0.26"
"Microsoft.Management.Infrastructure","2.0.0"
"System.ServiceModel.Federation","4.8.1"
"System.ServiceModel.Security","4.8.1"
"Microsoft.EntityFrameworkCore","7.0.5"
"Microsoft.PowerShell.Native","7.3.2"
"Microsoft.Owin.Hosting","4.2.2"
"Microsoft.EntityFrameworkCore.SqlServer","3.1.1"
"Microsoft.Extensions.Hosting","7.0.1"
"Microsoft.PowerShell.CoreCLR.Eventing","7.2.11"
"System.Web.Services.Description","4.10.2"
"Microsoft.Owin.Cors","4.2.2"
"System.Data.SQLite","1.0.117"
"System.Net.Http","4.3.4"
"Unity.WebAPI","5.4.0"
"System.Management.Automation","7.2.11"
"MySqlConnector","2.2.5"
"System.ServiceModel.NetTcp","4.8.1"
"Microsoft.AspNetCore.Cors","2.2.0"
"System.DirectoryServices.AccountManagement","7.0.0"
"Microsoft.Owin","4.2.2"
"Microsoft.AspNet.WebApi.SelfHost","5.2.9"
"System.Data.SQLite.EF6","1.0.117"
"System.Data.SQLite.Core","1.0.117"
"Microsoft.WSMan.Management","7.2.11"
"Owin.Builder","0.8.5"
"System.Management","7.0.1"
"Microsoft.PowerShell.SDK","7.3.4"
"System.Data.SqlClient","4.8.5"
"Microsoft.AspNet.WebApi.Cors","5.2.9"
"System.Data.Common","4.3.0"
"CliWrap","3.6.1"
"System.DirectoryServices","7.0.1"
"Microsoft.PowerShell.Security","7.2.11"
"Unity","5.11.10"
"EntityFramework","6.4.4"
"MySql.Data","8.0.26"
"Microsoft.PowerShell.Commands.Diagnostics","7.2.11"
"System.ServiceModel.Http","4.8.1"
"NLog","5.1.3"
"Microsoft.Extensions.Primitives","7.0.0"
"System.ServiceModel.Duplex","4.8.1"
"Microsoft.AspNet.Cors","5.2.9"
"MySql.Data.EntityFramework","8.0.26"
"Microsoft.PowerShell.Commands.Utility","7.2.11"
"System.Spatial","5.8.5"
"Microsoft.AspNet.WebApi.OwinSelfHost","5.2.9"
"Microsoft.PowerShell.Commands.Management","7.2.11"
"Microsoft.PowerShell.ConsoleHost","7.2.11"
